Date,Open,High,Low,Close,Volume
2020-11-09 00:00:00,363.97,364.38,354.06,354.56,173058434
2020-11-10 00:00:00,353.49,355.18,350.51,354.04,85264498
2020-11-11 00:00:00,356.4,357.56,355.06,356.67,58481252
2020-11-12 00:00:00,355.58,356.7182,351.26,353.21,68151641
2020-11-13 00:00:00,355.27,358.9,354.71,358.1,62872273
2020-11-16 00:00:00,360.98,362.78,359.59,362.57,74730921
2020-11-17 00:00:00,359.97,361.92,358.34,360.62,66151279
2020-11-18 00:00:00,360.91,361.5,356.24,356.28,70749822
2020-11-19 00:00:00,355.6,358.18,354.15,357.78,60224552
2020-11-20 00:00:00,357.5,357.72,355.25,355.33,70365000
2020-11-23 00:00:00,357.28,358.82,354.865,357.46,62835493
2020-11-24 00:00:00,360.21,363.81,359.29,363.22,62621630
2020-11-25 00:00:00,363.13,363.16,361.48,362.66,43657514
2020-11-27 00:00:00,363.84,364.18,362.58,363.67,28593306
2020-11-30 00:00:00,362.83,363.12,359.17,362.06,83588299
2020-12-01 00:00:00,365.57,367.68,364.93,366.02,73961896
2020-12-02 00:00:00,364.82,366.96,364.2,366.79,45853208
2020-12-03 00:00:00,366.68,368.19,365.5,366.69,62307982
2020-12-04 00:00:00,367.32,369.85,367.22,369.85,50407740
2020-12-07 00:00:00,369.02,369.62,367.72,369.09,49136033
2020-12-08 00:00:00,367.72,370.78,367.67,370.17,42268139
2020-12-09 00:00:00,370.88,371.05,365.95,366.85,74057133
2020-12-10 00:00:00,365.37,367.86,364.43,366.73,57922988
2020-12-11 00:00:00,364.9,366.7402,363.26,366.3,57626449
2020-12-14 00:00:00,368.64,369.8,364.47,364.66,69194228
2020-12-15 00:00:00,367.4,369.59,365.92,369.59,64214191
2020-12-16 00:00:00,369.82,371.16,368.8676,370.17,58569131
2020-12-17 00:00:00,371.94,372.46,371.05,372.24,64330700
2020-12-18 00:00:00,370.97,371.15,367.02,369.18,136296347
2020-12-21 00:00:00,364.97,378.46,362.03,367.86,96516504
2020-12-22 00:00:00,368.21,368.3317,366.03,367.24,48545847
2020-12-23 00:00:00,368.28,369.62,367.39,367.57,46266987
2020-12-24 00:00:00,368.08,369.03,367.45,369,26553165
2020-12-28 00:00:00,371.74,372.59,371.07,372.17,39196359
2020-12-29 00:00:00,373.81,374,370.83,371.46,53922979
2020-12-30 00:00:00,372.34,373.1,371.57,371.99,47453783
2020-12-31 00:00:00,371.78,374.66,371.232,373.88,78412991
2021-01-04 00:00:00,375.31,375.45,364.82,368.79,110478457
2021-01-05 00:00:00,368.1,372.5,368.05,371.33,66580764
2021-01-06 00:00:00,369.71,376.98,369.12,373.55,108201038
2021-01-07 00:00:00,376.1,379.9,375.91,379.1,66841612
2021-01-08 00:00:00,380.59,381.49,377.1,381.26,71623236
2021-01-11 00:00:00,377.85,380.58,377.7189,378.69,51151848
2021-01-12 00:00:00,378.89,379.86,376.36,378.77,52692394
2021-01-13 00:00:00,378.69,380.86,377.85,379.79,45408266
2021-01-14 00:00:00,380.59,381.13,378.1,378.46,49908476
2021-01-15 00:00:00,376.72,377.58,373.7,375.7,106102383
2021-01-19 00:00:00,378.34,379.23,376.75,378.65,51328803
2021-01-20 00:00:00,381.11,384.79,380.69,383.89,61211499
2021-01-21 00:00:00,384.49,384.95,383.25,384.24,47887079
2021-01-22 00:00:00,382.25,384.1256,381.835,382.88,52322581
2021-01-25 00:00:00,383.67,384.77,378.46,384.39,70594392
2021-01-26 00:00:00,385.41,385.85,383.54,383.79,41457243
2021-01-27 00:00:00,380.22,380.32,372.01,374.41,123465353
2021-01-28 00:00:00,376.36,381.93,375.89,377.63,94387034
2021-01-29 00:00:00,375.63,376.67,368.27,370.07,126537171
2021-02-01 00:00:00,373.72,377.34,371.42,376.23,76204131
2021-02-02 00:00:00,379.65,383.22,379.6,381.55,64708569
2021-02-03 00:00:00,382.435,383.7,380.48,381.85,52656585
