Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,2.080000,2.080000,1.920000,2.030000,2.030000,106000
2019-06-25,2.010000,2.350000,1.950000,2.310000,2.310000,764700
2019-06-26,2.300000,2.300000,2.100000,2.230000,2.230000,278500
2019-06-27,2.760000,3.250000,2.400000,2.580000,2.580000,14979200
2019-06-28,2.450000,2.600000,2.370000,2.550000,2.550000,1035500
2019-07-01,2.540000,2.570000,2.460000,2.520000,2.520000,388600
2019-07-02,2.500000,2.500000,2.400000,2.410000,2.410000,242700
2019-07-03,2.380000,2.410000,2.280000,2.300000,2.300000,228300
2019-07-05,2.290000,2.400000,2.280000,2.290000,2.290000,146000
2019-07-08,2.260000,2.340000,2.170000,2.210000,2.210000,222800
2019-07-09,2.200000,2.240000,2.100000,2.130000,2.130000,185100
2019-07-10,2.140000,2.240000,2.090000,2.240000,2.240000,134200
2019-07-11,2.300000,2.600000,2.230000,2.270000,2.270000,1562800
2019-07-12,2.210000,2.240000,2.120000,2.120000,2.120000,315400
2019-07-15,2.120000,2.190000,2.060000,2.070000,2.070000,154300
2019-07-16,2.050000,2.120000,2.010000,2.100000,2.100000,123900
2019-07-17,2.130000,2.170000,2.030000,2.090000,2.090000,89500
2019-07-18,2.090000,2.100000,2.030000,2.100000,2.100000,67200
2019-07-19,2.060000,2.150000,2.030000,2.040000,2.040000,124000
2019-07-22,2.020000,2.080000,2.020000,2.040000,2.040000,62300
2019-07-23,2.050000,2.050000,2.010000,2.040000,2.040000,107100
2019-07-24,2.020000,2.070000,2.020000,2.040000,2.040000,41100
2019-07-25,2.020000,2.090000,2.020000,2.030000,2.030000,67200
2019-07-26,2.040000,2.050000,2.010000,2.020000,2.020000,44100
2019-07-29,2.030000,2.050000,2.000000,2.010000,2.010000,105600
2019-07-30,2.000000,2.040000,1.960000,2.030000,2.030000,120800
2019-07-31,2.030000,2.160000,2.020000,2.080000,2.080000,123100
2019-08-01,2.100000,2.400000,2.080000,2.260000,2.260000,376300
2019-08-02,2.250000,2.250000,2.150000,2.200000,2.200000,65600
2019-08-05,2.160000,2.180000,2.100000,2.100000,2.100000,67900
2019-08-06,2.110000,2.280000,2.100000,2.150000,2.150000,83900
2019-08-07,2.100000,2.280000,2.100000,2.120000,2.120000,131900
2019-08-08,2.150000,2.250000,2.150000,2.200000,2.200000,46400
2019-08-09,2.210000,2.290000,2.150000,2.270000,2.270000,104700
2019-08-12,2.280000,2.440000,2.200000,2.370000,2.370000,179900
2019-08-13,2.330000,2.520000,2.260000,2.310000,2.310000,382500
2019-08-14,2.300000,2.470000,2.150000,2.170000,2.170000,190000
2019-08-15,2.200000,2.240000,2.110000,2.140000,2.140000,45100
2019-08-16,2.130000,2.260000,2.110000,2.180000,2.180000,70900
2019-08-19,2.190000,2.190000,2.110000,2.110000,2.110000,49600
2019-08-20,2.100000,2.150000,2.090000,2.150000,2.150000,23400
2019-08-21,2.150000,2.190000,2.050000,2.080000,2.080000,88700
2019-08-22,2.110000,2.150000,2.060000,2.060000,2.060000,49800
2019-08-23,2.050000,2.120000,2.030000,2.030000,2.030000,62700
