time;open;high;low;close;Volume;Kolonne1
2021-05-06 22:00;24935;24965;24935;24961;18255;
2021-05-07 14:00;2501;25422;2501;25235;166957;
2021-05-07 16:00;25247;2543;25189;25422;380710;
2021-05-07 18:00;25426;25426;25217;2522;180039;
2021-05-07 20:00;25216;25347;2519;25242;415322;
2021-05-07 22:00;25246;2526;25244;2526;1600;
2021-05-08 00:00;25256;25256;25256;25256;540;
2021-05-10 12:00;25103;25103;25103;25103;351;
2021-05-10 14:00;25148;2516;24935;25133;119623;
2021-05-10 16:00;25138;2517;24986;25035;207841;
2021-05-10 18:00;25036;25108;249565;2499;169214;
2021-05-10 20:00;24984;24986;24716;2472;523328;
2021-05-10 22:00;24719;24719;24652;24652;654;
2021-05-11 12:00;24427;24504;24408;24408;1031;
2021-05-11 14:00;24474;24525;24259;24476;227466;
2021-05-11 16:00;24479;24659;2439;24595;420547;
2021-05-11 18:00;246;24642;24467;2451;271183;
2021-05-11 20:00;24526;24649;24471;24622;462717;
2021-05-11 22:00;24603;24603;24603;24603;200;
2021-05-12 14:00;24573;24573;24203;24238;177558;
2021-05-12 16:00;24233;24233;23941;2395;607336;
2021-05-12 18:00;23944;24035;23877;23924;395204;
2021-05-12 20:00;23933;24036;2381;23906;677864;
2021-05-12 22:00;23918;23918;23876;23876;297;
2021-05-13 12:00;23889;2408;23889;2407;653;
2021-05-13 14:00;24046;24367;24046;24329;226637;
2021-05-13 16:00;24335;24558;24218;243;411947;
2021-05-13 18:00;24301;24416;24151;24229;277851;
2021-05-13 20:00;24243;24483;2424;24304;453032;
2021-05-13 22:00;24267;24267;2426;2426;9633;
2021-05-14 12:00;24565;24565;24565;24565;100;
2021-05-14 14:00;24565;24865;24525;24775;207099;
2021-05-14 16:00;24775;24819;24627;24762;351425;
2021-05-14 18:00;24762;24879;24749;248745;182971;
2021-05-14 20:00;24877;24918;24802;24802;461347;
2021-05-14 22:00;24843;249;24843;249;2000;
2021-05-15 00:00;24928;24928;24928;24928;100;
2021-05-17 12:00;24762;24762;24762;24762;100;
2021-05-17 14:00;24686;24723;245;24552;117452;
2021-05-17 16:00;24545;24566;24405;24437;373528;
2021-05-17 18:00;24435;24496;24352;24376;259890;
2021-05-17 20:00;24375;245225;24356;24517;399509;
2021-05-18 12:00;24666;24666;2466;2466;300;
2021-05-18 14:00;24654;24654;24495;24526;100084;
2021-05-18 16:00;2453;24609;24489;24506;243893;
2021-05-18 18:00;24505;24593;24505;24512;212612;
2021-05-18 20:00;24512;24533;2429;24303;481619;
2021-05-18 22:00;24283;24315;24277;24315;600;
2021-05-19 12:00;239;239;239;239;200;
2021-05-19 14:00;23909;2412;23865;24001;150599;
2021-05-19 16:00;23999;24187;23965;24148;313751;
2021-05-19 18:00;24154;24262;24133;24157;169614;
2021-05-19 20:00;24146;24323;24044;24323;419019;
2021-05-19 22:00;24313;24313;24271;24271;1200;
2021-05-20 12:00;24298;24299;24298;24299;256;
2021-05-20 14:00;24375;24643;24375;24552;147004;
2021-05-20 16:00;24552;24794;24552;24731;313164;
2021-05-20 18:00;24736;24751;2464;2473;252156;
2021-05-20 20:00;24731;24751;24617;24642;355954;
2021-05-20 22:00;2461;24622;2461;24622;5020;
2021-05-21 12:00;2472;2472;2472;2472;600;
2021-05-21 14:00;24719;24829;246585;24756;130148;
2021-05-21 16:00;24758;24777;24548;24549;263458;
2021-05-21 18:00;24549;24593;24498;24559;199385;
2021-05-21 20:00;24564;24598;24475;24522;413057;
2021-05-21 22:00;24503;24503;24503;24503;100;
2021-05-24 14:00;24673;25004;24673;24962;181187;
2021-05-24 16:00;24964;25086;24964;25067;307336;
2021-05-24 18:00;25066;25104;25005;25058;194468;
2021-05-24 20:00;25062;25115;25053;25086;404191;
2021-05-25 14:00;25176;25266;25084;25137;122257;
2021-05-25 16:00;25138;25201;25082;25169;246111;
2021-05-25 18:00;25172;25194;25095;25113;217979;
2021-05-25 20:00;251135;25186;2509;25178;379576;
2021-05-25 22:00;25137;25137;25137;25137;1200;
2021-05-26 12:00;2524;2524;2524;2524;100;
2021-05-26 14:00;25115;25284;25104;25129;93009;
2021-05-26 16:00;25135;25178;250875;25134;216587;
2021-05-26 18:00;25136;25163;25082;251;188546;
2021-05-26 20:00;25097;25158;25076;25149;289058;
2021-05-27 12:00;25018;25018;25018;25018;100;
2021-05-27 14:00;25053;25144;25027;25029;105397;
